date,open,high,low,close,volume
2023-11-01T11:30:00+05:30,2310.55,2310.55,2307.7,2308.0,12325
2023-11-01T11:31:00+05:30,2307.9,2309.0,2307.9,2308.25,8118
2023-11-01T11:32:00+05:30,2308.25,2311.0,2308.25,2310.95,14420
2023-11-01T11:33:00+05:30,2310.95,2310.95,2310.1,2310.8,6203
2023-11-01T11:34:00+05:30,2310.85,2311.0,2309.25,2310.0,6390
2023-11-01T11:35:00+05:30,2309.65,2309.95,2309.45,2309.8,2847
2023-11-01T11:36:00+05:30,2309.8,2310.0,2309.45,2310.0,3640
2023-11-01T11:37:00+05:30,2309.65,2310.1,2308.25,2308.75,8166
2023-11-01T11:38:00+05:30,2308.25,2308.65,2307.9,2308.05,4539
2023-11-01T11:39:00+05:30,2308.05,2308.5,2308.05,2308.4,2231
2023-11-01T11:40:00+05:30,2308.6,2309.65,2308.25,2309.05,2736
2023-11-01T11:41:00+05:30,2309.0,2309.85,2308.9,2309.0,3746
2023-11-01T11:42:00+05:30,2309.5,2310.95,2309.0,2310.45,5629
2023-11-01T11:43:00+05:30,2310.95,2311.0,2310.45,2310.7,8874
2023-11-01T11:44:00+05:30,2310.8,2310.9,2310.0,2310.8,2655
2023-11-01T11:45:00+05:30,2310.8,2313.1,2310.5,2312.95,5800
2023-11-01T11:46:00+05:30,2312.9,2313.0,2312.0,2312.5,6850
2023-11-01T11:47:00+05:30,2312.5,2312.5,2311.6,2311.65,2965
2023-11-01T11:48:00+05:30,2311.75,2312.0,2311.65,2311.75,2199
2023-11-01T11:49:00+05:30,2311.75,2312.25,2311.45,2312.2,5873
2023-11-01T11:50:00+05:30,2312.0,2312.75,2311.7,2312.0,4510
2023-11-01T11:51:00+05:30,2312.0,2312.0,2310.25,2310.5,11877
2023-11-01T11:52:00+05:30,2310.5,2311.0,2310.5,2310.6,7298
2023-11-01T11:53:00+05:30,2310.6,2311.0,2310.5,2310.7,6413
2023-11-01T11:54:00+05:30,2310.85,2311.95,2310.6,2311.0,13811
2023-11-01T11:55:00+05:30,2311.0,2312.9,2310.85,2311.95,10433
2023-11-01T11:56:00+05:30,2311.7,2313.5,2311.7,2312.9,3051
2023-11-01T11:57:00+05:30,2313.4,2313.8,2313.0,2313.25,2732
2023-11-01T11:58:00+05:30,2313.45,2313.9,2313.0,2313.15,7998
2023-11-01T11:59:00+05:30,2313.45,2313.65,2312.95,2313.0,3288
2023-11-01T12:00:00+05:30,2313.0,2313.85,2313.0,2313.1,2130
2023-11-01T12:01:00+05:30,2313.5,2313.5,2311.75,2311.85,23494
2023-11-01T12:02:00+05:30,2312.4,2312.4,2309.95,2310.45,48522
